Contig	Lean 	Siscowet 
Snamaycush_0668	32	29
Snamaycush_0669	24	30
Snamaycush_0670	10	20
Snamaycush_0671	58	55
Snamaycush_0672	468	358
Snamaycush_0673	53	49
Snamaycush_0674	32	21
Snamaycush_0675	12	32
Snamaycush_0676	0	0
Snamaycush_0677	13	15
Snamaycush_0678	297	281
Snamaycush_0679	25	22
Snamaycush_0680	33	35
Snamaycush_0681	6	8
Snamaycush_0682	17	9
Snamaycush_0683	16	23
Snamaycush_0684	45	37
Snamaycush_0685	1	4
Snamaycush_0686	34	29
Snamaycush_0687	4	6
Snamaycush_0688	8	12
Snamaycush_0689	7	7
Snamaycush_0690	149	105
Snamaycush_0691	13	20
Snamaycush_0692	618	607
Snamaycush_0693	18	23
Snamaycush_0694	17	9
Snamaycush_0695	5	9
Snamaycush_0696	17	24
Snamaycush_0697	121	73
Snamaycush_0698	2	2
Snamaycush_0699	6	4
Snamaycush_0700	11	13
Snamaycush_0701	8	5
Snamaycush_0702	10	9
Snamaycush_0703	425	511
Snamaycush_0704	246	228
Snamaycush_0705	58	25
Snamaycush_0706	24	16
Snamaycush_0707	119	89
Snamaycush_0708	39	30
Snamaycush_0709	17	19
Snamaycush_0710	17	15
Snamaycush_0711	21	31
Snamaycush_0712	0	0
Snamaycush_0713	1386	1247
Snamaycush_0714	6681	2682
Snamaycush_0715	7	4
Snamaycush_0716	1243	1840
Snamaycush_0717	21	21
Snamaycush_0718	212	136
Snamaycush_0719	20	19
Snamaycush_0720	12	13
Snamaycush_0721	23	29
Snamaycush_0722	421	275
Snamaycush_0723	23	11
Snamaycush_0724	67	60
Snamaycush_0725	153	114
Snamaycush_0726	12	21
Snamaycush_0727	41	39
Snamaycush_0728	163	104
Snamaycush_0729	4	1
Snamaycush_0730	0	0
Snamaycush_0731	0	0
Snamaycush_0732	957	795
Snamaycush_0733	35	28
Snamaycush_0734	37	49
Snamaycush_0735	98	59
Snamaycush_0736	5	4
Snamaycush_0737	0	0
Snamaycush_0738	159	153
Snamaycush_0739	109	132
Snamaycush_0740	339	150
Snamaycush_0741	28	14
Snamaycush_0742	4	2
Snamaycush_0743	0	0
Snamaycush_0744	5	3
Snamaycush_0745	11	4
Snamaycush_0746	13	8
Snamaycush_0747	642	551
Snamaycush_0748	62	54
Snamaycush_0749	0	0
Snamaycush_0750	33	26
Snamaycush_0751	0	0
Snamaycush_0752	7	3
Snamaycush_0753	4	6
Snamaycush_0754	1082	946
Snamaycush_0755	15	9
Snamaycush_0756	369	264
Snamaycush_0757	14	5
Snamaycush_0758	46	42
Snamaycush_0759	66	49
Snamaycush_0760	3	2
Snamaycush_0761	22	21
Snamaycush_0762	0	1
Snamaycush_0763	0	0
Snamaycush_0764	38	37
Snamaycush_0765	0	0
Snamaycush_0766	16	24
Snamaycush_0767	9	9
Snamaycush_0768	223	194
Snamaycush_0769	3967	2809
Snamaycush_0770	50	40
Snamaycush_0771	986	722
Snamaycush_0772	3	4
Snamaycush_0773	526	399
Snamaycush_0774	50	20
Snamaycush_0775	14	16
Snamaycush_0776	286	226
Snamaycush_0777	59	58
Snamaycush_0778	2	1
Snamaycush_0779	35	22
Snamaycush_0780	19	11
Snamaycush_0781	204	191
Snamaycush_0782	271	172
Snamaycush_0783	9	6
Snamaycush_0784	3	3
Snamaycush_0785	11	13
Snamaycush_0786	149	131
Snamaycush_0787	101	68
Snamaycush_0788	14	12
Snamaycush_0789	1	1
Snamaycush_0790	6	1
Snamaycush_0791	69	45
Snamaycush_0792	3	2
Snamaycush_0793	26	22
Snamaycush_0794	7	9
Snamaycush_0795	45	28
Snamaycush_0796	9	5
Snamaycush_0797	69	49
Snamaycush_0798	2	2
Snamaycush_0799	4	1
Snamaycush_0800	5	1
Snamaycush_0801	0	0
Snamaycush_0802	22	12
Snamaycush_0803	0	1
Snamaycush_0804	1	2
Snamaycush_0805	21	11
Snamaycush_0806	0	5
Snamaycush_0807	146	103
Snamaycush_0808	22	7
Snamaycush_0809	0	0
Snamaycush_0810	0	0
Snamaycush_0811	77	67
Snamaycush_0812	3	4
Snamaycush_0813	0	0
Snamaycush_0814	46	37
Snamaycush_0815	1	1
Snamaycush_0816	1	2
Snamaycush_0817	9	12
Snamaycush_0818	3	0
Snamaycush_0819	3	2
Snamaycush_0820	165	133
Snamaycush_0821	41	663
Snamaycush_0822	18	6
Snamaycush_0823	31	28
Snamaycush_0824	6	0
Snamaycush_0825	5	4
Snamaycush_0826	1	2
Snamaycush_0827	132	153
Snamaycush_0828	236	164
Snamaycush_0829	38	37
Snamaycush_0830	3	3
Snamaycush_0831	33	43
Snamaycush_0832	1784	1417
Snamaycush_0833	9	16
Snamaycush_0834	1	0
Snamaycush_0835	16	14
Snamaycush_0836	68	97
Snamaycush_0837	1	0
Snamaycush_0838	2	3
Snamaycush_0839	4	3
Snamaycush_0840	87	76
Snamaycush_0841	2	0
Snamaycush_0842	26	36
Snamaycush_0843	24	8
Snamaycush_0844	7	5
Snamaycush_0845	14	15
Snamaycush_0846	0	5
Snamaycush_0847	1	0
Snamaycush_0848	0	0
Snamaycush_0849	5	2
